vivino_id,winery,year,name,type,rating,price,country,region,image_url
94430,José Maria da Fonseca,2018,José Maria da Fonseca Quinta de Camarate Branco Dolce 2018,dessert,3.7,7.32,Portugal,Península de Setúbal,//images.vivino.com/labels/oOCntrhiR5yM2y8-JOtZ7w.jpg
5217519,Encosta do Guadiana,2017,Encosta do Guadiana Tinto 2017,red,3.7,7.89,Portugal,Alentejano,//images.vivino.com/labels/m7KPU6uxSPehYrcilTrSWw.jpg
35234,Grand'Arte,2015,Grand'Arte Chardonnay 2015,white,3.6,6.69,Portugal,Lisboa,//images.vivino.com/labels/R1WJPnTZTS-5QY_AmNIDCg.jpg
4970384,Herdade do Rocim,2016,Herdade do Rocim Vale da Mata Branco 2016,white,3.4,9.24,Portugal,Lisboa,//images.vivino.com/thumbs/2FPsyy4QTdq38RzIS0VmyQ_pl_480x640.png
81371,Quinta do Noval,2004,Quinta do Noval Late Bottled Vintage Unfiltered Port 2004,fortified,4.2,56.5,Portugal,Porto,//images.vivino.com/thumbs/8Iypt9lvQrWnCNqVW1OmNg_pl_480x640.png
1400670,Casa da Ínsua,2010,Casa da Ínsua Reserva Tinto 2010,red,3.7,40.0,Portugal,Beiras,//images.vivino.com/labels/WhsnR3K_QreZEy8u8chxsA.jpg
1400670,Casa da Ínsua,2014,Casa da Ínsua Reserva Tinto 2014,red,3.6,25.0,Portugal,Beiras,//images.vivino.com/labels/8ETut4krQ4-72tnlOdWBYA.jpg
1675533,Aliança,2007,Aliança Vista TR Tinta Roriz 2007,red,3.2,25.9,Portugal,Douro,//images.vivino.com/thumbs/N7bCPooCTU2OuEHa5Coykw_pl_480x640.png
80259,Adega Cooperativa de Borba,2016,Adega Cooperativa de Borba Montes Claros Reserva 2016,white,3.6,7.3,Portugal,Alentejo,//images.vivino.com/thumbs/Wp-Evt9iStqEMroVSXbz_Q_pl_480x640.png
1733149,Crooked Vines,2016,Crooked Vines Branco 2016,white,3.8,21.0,Portugal,Douro,//images.vivino.com/labels/z-XXXozHQKiX917JMhFKVQ.jpg
6507821,Ma+Ru+Fa,2015,Ma+Ru+Fa Edição Especial Tinto 2015,red,3.3,8.166666666666666,Portugal,Tejo,//images.vivino.com/labels/Hi9KZZtpT2GODdSwPCko3Q.jpg
5175681,Jorge Rosa Santos,2016,Jorge Rosa Santos Explicit White 2016,white,3.7,13.8,Portugal,Alentejano,//images.vivino.com/labels/8rcfdl7sQTetVhxbux8OGw.jpg
1166949,Quinta Nova de Nossa Senhora do Carmo,2020,Quinta Nova de Nossa Senhora do Carmo Douro Reserva 2020,red,4.3,12.9,Portugal,Douro,//images.vivino.com/thumbs/lsbntwrRSsm6KxdWsD3uGQ_pl_480x640.png
